源表行号,任务名称,需求场景,PRD,自动创建子任务,关联项目,优先级,需求来源,需求状态,需求负责 PM,需求群,建群按钮,其他,推进版本（自动查询）,②版本开发计划-关联需求,项目汇总-项目关联需求（需求池中需求）,关联父任务,Epic,阶段,范围分级,验收标准,需求ID,依赖项,阻塞原因,来源类型补充,一期口径,是否MVP必需,负责人角色建议,事实来源,验收补充,风险与阻塞补充,本地来源文档,完善动作,本地MVP映射,AI执行判断,AI下一步动作,AI输出位置,AI验证方式,人工确认点
82,推送码归属、换绑与申诉规则,用户注册时根据推送码或设备码确定推送人、渠道和默认水站；满足条件后允许换绑申请，并支持注册归属申诉和换绑申诉。,来源：03_需求规格与业务规则/10-需求-渠道与推送定义.md；12-需求-推送码与默认归属.md；02_会议需求与范围确认/03-一期范围修订建议.md；需求编号：REQ-058,,六维达康水站项目（需求池完善副本）,P0,客户反馈,方案中,,,建群,完整渠道后台后置，但归属字段、推送码解析和申诉口径需要前置。,,渠道端一期预留、推送码归属、商城归因与分润边界,六维达康水站项目（需求池完善副本）,,渠道,一期,一期重要,推送码注册能关联推送人；扫码设备注册默认归属设备水站；用户可查询渠道归属和推送人；注册 7 天内可申诉；换绑资格按注册时间、下属规模、冷却期、次数自动校验；换绑后 90 天内相关方可申诉。,REQ-058,依赖 REQ-056、REQ-045、REQ-046、REQ-302。,,会议确认,商业一期,骨架,商务,后端数据库,验收补充：支持 3 级血缘字段、防环校验、binding_change_log、binding_appeal；历史分润不重算，新分润按新关系计算。,渠道层级和实际激励级数仍需会议确认；换绑有涟漪效应，审核和通知必须完整。,03_需求规格与业务规则/10-需求-渠道与推送定义.md；12-需求-推送码与默认归属.md；02_会议需求与范围确认/03-一期范围修订建议.md,从渠道端预留中拆出归属和推送码规则，避免一期只留 channelId 而漏掉注册归属、申诉和换绑验收。,新增：L2；关联 R24、R25、R36,可直接执行,按 新增：L2；关联 R24、R25、R36 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/requirements/；water-station/docs/planning/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
83,配送状态通知与签收申诉追踪,用户下单送水后需要看到水已离站、配送中、已送达/已签收等节点；配送员三照签收后系统自动确认，用户 24 小时内可申诉。,来源：02_会议需求与范围确认/01-会议新增需求整理.md；06_一期开发执行计划/04-执行-用户端开发.md；06-执行-配送端开发.md；需求编号：REQ-059,,六维达康水站项目（需求池完善副本）,P0,客户反馈,方案中,,,建群,AI 图片识别二期预留；一期先保证时间、定位、照片和申诉证据链。,,配送端履约、准入、通知、签收申诉与多水种骨架,六维达康水站项目（需求池完善副本）,,配送端,一期,一期重要,用户端配送跟踪页展示关键状态；至少通知“水已离开水站”和“已签收/已送达”；订单详情能查看三张签收照片、时间、GPS；用户 24 小时内可申诉；配送员端可看到申诉并提交举证。,REQ-059,依赖 REQ-011、REQ-015、REQ-016、REQ-017、REQ-054。,,会议确认,骨架方案,骨架,配送,后端数据库,验收补充：通知渠道可先用小程序内消息/微信订阅消息；每次状态变更写订单轨迹和审计日志。,订阅消息模板、短信和客服 SOP 待定；通知不能代替用户申诉权。,02_会议需求与范围确认/01-会议新增需求整理.md；06_一期开发执行计划/04-执行-用户端开发.md；06-执行-配送端开发.md,在三照签收之外补用户侧状态通知和申诉追踪，避免只做配送员拍照页面。,新增：L3；关联 R20-R22,可直接执行,按 新增：L3；关联 R20-R22 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/miniprogram/；water-station/services/api/；water-station/docs/ops/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
84,容器规格提示与回收记录,配送场景需要区分 3L 袋、5L 桶、10L 桶、20L 桶等容器规格，订单明确提示配送数量和回收数量，配送员记录空容器回收。,来源：03_需求规格与业务规则/17-需求-容器管理.md；02_会议需求与范围确认/03-一期范围修订建议.md；需求编号：REQ-060,,六维达康水站项目（需求池完善副本）,P2,客户反馈,方案中,,,建群,用户支付水费，容器免费使用；容器丢失赔偿规则后续确认。,,配送端履约、准入、通知、签收申诉与多水种骨架,六维达康水站项目（需求池完善副本）,,配送端,一期,后续预留,后台能维护至少 4 种容器规格；配送订单显示容器类型、容量、数量；配送员可标记回收数量；后台可统计容器回收记录和简化库存。,REQ-060,依赖 REQ-011、REQ-015、REQ-054、REQ-059。,,正式PRD,一期预留,否,配送,人工运营,验收补充：一期不做单桶唯一编码和扫码生命周期；二期再做入库、出库、清洗、报废和押金。,容器清洗责任、押金/赔偿规则、容器规格清单待甲方确认。,03_需求规格与业务规则/17-需求-容器管理.md；02_会议需求与范围确认/03-一期范围修订建议.md,补容器作为配送订单字段和回收记录，不把它误判为完整仓储系统。,新增：L4；关联 R20-R22,可直接执行,按 新增：L4；关联 R20-R22 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/miniprogram/；water-station/services/api/；water-station/docs/ops/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
85,套餐兑换汇率、价格快照与退款折算,不同套餐对应不同购水单价和兑换水量，用户消费、退款、申诉和对账都必须保留套餐快照、价格快照和扣费优先级。,来源：02_会议需求与范围确认/01-会议新增需求整理.md；03_需求规格与业务规则/13-需求-在线购卡充值.md；18-需求-差异化定价.md；需求编号：REQ-061,,六维达康水站项目（需求池完善副本）,P0,客户反馈,方案中,,,建群,充值不审核；退款和提现必须后台审核。,,设备、水卡、扫码规则、运维工单与授权扩展模型,六维达康水站项目（需求池完善副本）,,水卡,一期,一期重要,套餐配置包含价格、有效期、兑换水量、赠送比例和生效状态；下单前展示价格组成；订单保存套餐快照和价格快照；退款按套餐比例、剩余水量、已使用情况折算；退款/提现走后台审核。,REQ-061,依赖 REQ-006、REQ-007、REQ-021、REQ-023、REQ-043、REQ-044。,,会议确认,商业一期,否,支付财务,后端数据库,验收补充：扣费优先级默认时效卡、可用水、余额、微信；历史订单价格不受后续价格调整影响；价格大幅调整需审批和日志。,套餐档位、退款手续费、支付宝是否支持、价格调整是否通知用户待确认。,02_会议需求与范围确认/01-会议新增需求整理.md；03_需求规格与业务规则/13-需求-在线购卡充值.md；18-需求-差异化定价.md,把套餐汇率和退款快照从购卡/价格泛化需求中拆出，作为财务和申诉关键验收。,新增：L5；关联 R17、R18、R24、R30,可直接执行,按 新增：L5；关联 R17、R18、R24、R30 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
86,运维告警工单与巡检闭环,设备离线、故障、TDS 超标、滤芯超时、SIM 到期、出水异常、指令超时等问题需要从告警进入工单、派工、处理、恢复和关闭。,来源：04_产品端口与业务方案/11-运维告警报修售后.md；06_一期开发执行计划/05-执行-后台开发.md；需求编号：REQ-062,,六维达康水站项目（需求池完善副本）,P1,客户反馈,方案中,,,建群,不要只做提醒列表，必须有处理记录和关闭证据。,,设备、水卡、扫码规则、运维工单与授权扩展模型,六维达康水站项目（需求池完善副本）,,运维能力,一期,一期重要,后台能看到异常设备、滤芯和 SIM 提醒；设备故障能生成告警；告警能进入报修工单；工单可分配运维、上传处理结果、关闭；机主能看到自己设备异常；巡检记录可保存现场照片和处理结果。,REQ-062,依赖 REQ-013、REQ-014、REQ-020、REQ-036、REQ-039、REQ-040。,,正式PRD,商业一期,否,运维,后端数据库,验收补充：工单状态至少覆盖待确认、待分配、处理中、待复核、已关闭；告警和工单状态变更写操作日志。,告警阈值、运维角色、工单 SLA 和配件库存边界待确认；MVP 可先做模型和只读提醒。,04_产品端口与业务方案/11-运维告警报修售后.md；06_一期开发执行计划/05-执行-后台开发.md,从 REQ-014 报修售后中拆出告警到工单到巡检的闭环验收。,新增：L6；关联 R26、R34、R35,可直接执行,按 新增：L6；关联 R26、R34、R35 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/requirements/；water-station/docs/planning/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
87,设备中控运营控制中心,后台不能只是设备列表，需要成为设备运营控制中心，支持状态、参数、地图、远程指令、紧急停机/锁机、公告和用户端状态展示开关。,来源：05_设备接口与技术方案/01-设备终端管理控制总方案.md；06-小程序全功能逐项巡检报告.md；02_会议需求与范围确认/06-一期范围与会议确认.md；需求编号：REQ-063,,六维达康水站项目（需求池完善副本）,P0,客户反馈,方案中,,,建群,一期重点做售水机；水控机共通能力和差异字段需设备厂确认。,,设备、水卡、扫码规则、运维工单与授权扩展模型,六维达康水站项目（需求池完善副本）,,设备接入,一期,一期必需,后台能新增设备、绑定水站/机主/渠道/地址、查看在线/离线/关机/故障/维护/出水中状态；能查看 TDS、滤芯、信号、最后连接时间；能下发查询、开机、锁机、解锁、参数同步、价格同步等指令；用户扫码前读取真实状态。,REQ-063,依赖 REQ-020、REQ-025、REQ-026、REQ-027、REQ-028、REQ-029、REQ-030、REQ-031、REQ-055。,,设备技术方案,商业一期,骨架,设备,甲方设备,验收补充：特定设备/设备组/全部设备指令范围可控；紧急停机和价格类操作需要二次验证和操作日志；设备状态开关影响用户端是否展示真实设备情况。,真实远程控制依赖设备厂协议和样机；高风险指令需权限、审计和回滚策略。,05_设备接口与技术方案/01-设备终端管理控制总方案.md；06-小程序全功能逐项巡检报告.md；02_会议需求与范围确认/06-一期范围与会议确认.md,补“设备中控平台”作为后台核心模块，避免设备需求只停留在档案和在线状态。,新增：L7；关联 R7-R10、R27-R29、R32,可直接执行,按 新增：L7；关联 R7-R10、R27-R29、R32 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
88,设备二维码、万能码与扫码价格规则,设备厂和后台需要明确新版/旧版二维码、万能码、出水口、价格模板和扫码价格同步关系，保证扫码入口、运营活动和真实取水定价一致。,来源：05_设备接口与技术方案/01-设备终端管理控制总方案.md；02-设备厂对接清单与联调要求.md；06-小程序全功能逐项巡检报告.md；需求编号：REQ-064,,六维达康水站项目（需求池完善副本）,P0,竞品分析,方案中,,,建群,这是设备厂对接必须确认项之一。,,设备、水卡、扫码规则、运维工单与授权扩展模型,六维达康水站项目（需求池完善副本）,,出水控制,一期,一期重要,设备厂提供新版/旧版二维码样例和二维码规则；后台可查看设备二维码；万能码能绑定设备、价格和出水口；扫码价格支持按出水口、模板和价格卡片配置；保存后同步到设备或扫码规则；用户扫码前价格有效。,REQ-064,依赖 REQ-004、REQ-021、REQ-025、REQ-026、REQ-061、REQ-063。,,设备技术方案,商业一期,骨架,设备,甲方设备,验收补充：旧码跳 H5/小程序、新码可参与运营活动的兼容策略需写清；删除全部万能码属于高风险操作，需要确认和日志。,万能码是否需要同步到设备、二维码是否防伪、扫码价格和后台价格规则是否冲突待确认。,05_设备接口与技术方案/01-设备终端管理控制总方案.md；02-设备厂对接清单与联调要求.md；06-小程序全功能逐项巡检报告.md,从扫码识别和价格配置中拆出二维码、万能码、出水口扫码价的专门验收。,新增：L8；关联 R7、R15、R27、R29,可直接执行,按 新增：L8；关联 R7、R15、R27、R29 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
89,设备迁移换机与资质合规档案,运维中会出现同型号换机、设备/数据迁移、资质上传和证件模板管理，需要验证、日志审计和旧新设备关系处理。,来源：05_设备接口与技术方案/01-设备终端管理控制总方案.md；06-小程序全功能逐项巡检报告.md；02-设备厂对接清单与联调要求.md；需求编号：REQ-065,,六维达康水站项目（需求池完善副本）,P1,竞品分析,方案中,,,建群,资质档案和水质报告涉及监管合规，需确定责任人和更新周期。,,设备、水卡、扫码规则、运维工单与授权扩展模型,六维达康水站项目（需求池完善副本）,,运维能力,后续预留,二期增强,一键换机需验证并限制同型号；迁移需验证码或二次验证；旧设备解绑、新设备继承水站/机主/渠道/二维码/价格等关系；资质页支持体检合格证、卫生培训证明、设备卫生许可批件、水质质检报告和模板管理；全流程写日志。,REQ-065,依赖 REQ-020、REQ-025、REQ-040、REQ-063、REQ-064。,,设备技术方案,二期增强,否,运维,甲方设备,验收补充：一期至少把设备资质字段、迁移/换机风险和设备厂支持边界列入确认清单；完整流程二期开发。,换机和迁移属于高风险操作，若没有验证、审计和回滚，会造成设备归属、收益和二维码错乱。,05_设备接口与技术方案/01-设备终端管理控制总方案.md；06-小程序全功能逐项巡检报告.md；02-设备厂对接清单与联调要求.md,补设备生命周期运维需求，不把换机、迁移、资质误当作普通设备编辑。,新增：L9；关联 R26、R27、R29,可直接执行,按 新增：L9；关联 R26、R27、R29 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/requirements/；water-station/docs/planning/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
90,合规日志、数据加密、备份与审计导出,财务流水、操作日志、消费流水、分账记录和健康数据需要分层存储、加密、备份、生命周期管理和审计导出能力。,来源：03_需求规格与业务规则/21-需求-日志与合规.md；06_一期开发执行计划/10-执行-试运行与上线.md；需求编号：REQ-066,,六维达康水站项目（需求池完善副本）,P0,客户反馈,方案中,,,建群,用户健康数据删除权必须单独设计，不得和财务流水永久保存混淆。,,公司后台/系统管理端、配置中心、合规审计与事件白名单,六维达康水站项目（需求池完善副本）,,后台,一期,一期重要,财务流水不可篡改且可追溯；操作日志完整可查；敏感字段加密存储；每日全量备份、实时增量备份、异地灾备和恢复演练；支持按用户/订单/时间导出审计数据；满足个保法和支付/财务合规。,REQ-066,依赖 REQ-023、REQ-024、REQ-043、REQ-045、REQ-210。,,正式PRD,商业一期,骨架,后端,后端数据库,验收补充：至少定义 financial_ledger、financial_reconciliation、operation_log 和 audit/export；密钥由 KMS 管理，传输使用 HTTPS/TLS。,数据保存期限、是否区块链式防篡改、是否监管上报待确认；合规实现成本高。,03_需求规格与业务规则/21-需求-日志与合规.md；06_一期开发执行计划/10-执行-试运行与上线.md,把 REQ-024 操作日志升级为完整合规体系，不只记录订单命令日志。,新增：L10；关联 R9、R24、R31、R32、R35,可直接执行,按 新增：L10；关联 R9、R24、R31、R32、R35 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
91,后台数据大屏与告警中心,公司后台需要数据运营大屏，显示设备、用户、充值、办卡、收入、流水趋势、设备分布和异常告警，支持运营快速判断试点状态。,来源：06_一期开发执行计划/05-执行-后台开发.md；03_需求规格与业务规则/26-小程序系统功能表.xlsx；需求编号：REQ-067,,六维达康水站项目（需求池完善副本）,P1,竞品分析,方案中,,,建群,深度经营分析仍按 REQ-212 二期增强处理。,,公司后台/系统管理端、配置中心、合规审计与事件白名单,六维达康水站项目（需求池完善副本）,,后台,一期,一期重要,后台首页展示总设备数、在线设备数、昨日流水、总用户数、今日充值、今日办卡、今日收入；支持日/周流水趋势；设备分布地图和告警卡片可用；异常设备、滤芯到期、SIM 到期能进入告警中心。,REQ-067,依赖 REQ-020、REQ-022、REQ-023、REQ-050、REQ-062、REQ-063。,,执行计划,商业一期,否,后台,后端数据库,验收补充：30 天 MVP 可先做订单和设备只读看板；商业一期再扩展 ECharts、地图、实时数据流和完整告警中心。,指标口径必须来自后端数据库，不从飞书或 n8n 反算；实时数据流有性能风险。,06_一期开发执行计划/05-执行-后台开发.md；03_需求规格与业务规则/26-小程序系统功能表.xlsx,补后台数据大屏和告警中心，区别于最小订单/设备只读看板。,新增：L11；关联 R10、R23、R34,可直接执行,按 新增：L11；关联 R10、R23、R34 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
92,试运行上线、灰度回滚与数据迁移,一期交付前需要生产环境部署、数据库迁移、配置检查、灰度发布、监控告警、回滚和试运行日报，确保可上线验收。,来源：06_一期开发执行计划/10-执行-试运行与上线.md；需求编号：REQ-068,,六维达康水站项目（需求池完善副本）,P1,跨团队合作,方案中,,,建群,上线不是简单部署，需要迁移边界、灰度策略和回滚预案。,,工程底座、正式 OpenAPI、测试专项、Bug 风险与上线闭环,六维达康水站项目（需求池完善副本）,,联调验收,一期,一期重要,上线检查清单包含数据库备份、配置文件、密钥、服务启动、监控告警、域名、SSL、性能监控、错误日志和应急预案；灰度按 10%/30%/50%/100% 推进；迁移只迁套餐配置、设备、水站/机主、渠道和系统配置，不迁测试用户、订单、水卡；有迁移报告和上线报告。,REQ-068,依赖所有 P0/P1 需求验收、真实设备联调、支付合规和安全测试。,,执行计划,商业一期,否,测试,人工运营,验收补充：试运行指标包括可用性 >=99.9%、API 错误率 <0.1%、反馈响应 <2 小时、Bug 修复 <24 小时、7 天无重大故障。,生产环境、域名、备案、商户号、客服/运营团队由甲方提供，未就绪会阻塞上线。,06_一期开发执行计划/10-执行-试运行与上线.md,把 M10 上线试运行从执行计划补成需求池可验收项。,新增：L12；关联 R31-R35,可直接执行,按 新增：L12；关联 R31-R35 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/mvp/；water-station/docs/ops/；测试证据记录,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
93,培训交接、客服 SOP 与维护 SLA,项目上线后甲方运营、客服、技术和运维团队需要能独立使用后台、处理用户问题、响应故障和承接维护。,来源：06_一期开发执行计划/10-执行-试运行与上线.md；06-执行-配送端开发.md；需求编号：REQ-069,,六维达康水站项目（需求池完善副本）,P1,跨团队合作,方案中,,,建群,维护费用和首年/次年服务范围需要商务确认。,,工程底座、正式 OpenAPI、测试专项、Bug 风险与上线闭环,六维达康水站项目（需求池完善副本）,,运营,一期,一期重要,交付培训材料、操作手册、客服 SOP、运维手册、应急手册、培训记录和完整文档集；客服能处理支付失败、未出水、配送申诉、设备离线、资金差错；维护 SLA 明确 P0/P1/P2/P3 响应和解决时间。,REQ-069,依赖 REQ-017、REQ-059、REQ-062、REQ-066、REQ-068。,,执行计划,商业一期,否,运维,人工运营,验收补充：P0 15 分钟响应 4 小时解决；P1 2 小时响应 24 小时解决；培训对象覆盖运营、客服、技术人员。,如果客服 SOP 和维护边界不清，试运行会把设备、支付、配送问题全部压回开发团队。,06_一期开发执行计划/10-执行-试运行与上线.md；06-执行-配送端开发.md,补培训交接和运维 SLA，避免只交付代码/文档而没有运营承接。,新增：L13；关联 R34、R35,可直接执行,按 新增：L13；关联 R34、R35 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
94,会员等级、积分与卡券权益体系,共享健康水功能表和商城功能表都包含会员等级、积分、优惠券、每日签到、新人礼包、推广权益和卡券列表，需要明确一期入口/二期完整营销边界。,来源：03_需求规格与业务规则/26-小程序系统功能表.xlsx；09-需求-随机卡券.md；02_会议需求与范围确认/02-新旧需求对照表.md；需求编号：REQ-070,,六维达康水站项目（需求池完善副本）,P2,竞品分析,方案中,,,建群,水站功能表含新人注册送 20L 电子水卡、月卡/年卡套餐和多账户权益。,,二期健康预约、会员营销与消息中心预留,六维达康水站项目（需求池完善副本）,,营销,后续预留,二期增强,一期至少预留用户等级、积分、优惠券、卡券、红包、新人礼包和推广权益字段/入口；二期支持签到积分、优惠券领取/核销、渠道发券、卡券有效期、不可兑换现金、使用范围和防刷限制。,REQ-070,依赖 REQ-006、REQ-007、REQ-045、REQ-056、REQ-058、REQ-061、REQ-207。,,正式PRD,二期增强,否,产品,后端数据库,验收补充：渠道商发券权限后置；券是否抵扣配送费或只抵扣水费需确认；随机卡券需每日限制、防刷和领取记录。,营销规则容易和支付、分账、退款冲突；完整体系不进 30 天 MVP。,03_需求规格与业务规则/26-小程序系统功能表.xlsx；09-需求-随机卡券.md；02_会议需求与范围确认/02-新旧需求对照表.md,补会员积分卡券体系，避免只有“随机卡券”而漏掉等级、签到、新人礼包、优惠券和渠道发券。,新增：L14；关联 R36、REQ-207,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需人工确认业务口径、验收边界和是否进入本期。
95,第三方商城推荐归因与分润回传,小程序保留第三方商城入口时，需要把推荐人、渠道、水站等归因参数透传到商城，并在商城侧消费后回传可结算的分润数据。,来源：02_会议需求与范围确认/01-会议新增需求整理.md；02-新旧需求对照表.md；04_产品端口与业务方案/10-商城与健康体检生态.md；07_接口报价与商务材料/01-接口文档与报价窗口-Markdown版.md；需求编号：REQ-071,,六维达康水站项目（需求池完善副本）,P1,客户反馈,方案中,,,建群,商品、库存、售后仍按二期商城需求处理。,,渠道端一期预留、推送码归属、商城归因与分润边界,六维达康水站项目（需求池完善副本）,,商城,一期,一期重要,商城入口可按后台配置开启、关闭和跳转；跳转时携带用户、推荐人、渠道、水站和活动参数；商城侧回传订单号、金额、归因链路和可分润金额；回传失败可重试并留审计日志；不把商城商品订单纳入一期自研订单闭环。,REQ-071,依赖 REQ-201 商城入口、REQ-056 渠道预留、REQ-058 推送码归属、REQ-045 分账能力。,,会议确认,一期预留,否,商务,后端数据库,验收补充：至少沉淀 referral_code、channel_id、station_id、source_scene、external_order_id、commission_amount；点击埋点与回传流水可按用户和渠道查询。,第三方商城是否支持参数透传、回调验签和分润金额回传需甲方与商城方确认；不得用前端参数直接作为最终结算依据。,02_会议需求与范围确认/01-会议新增需求整理.md；02-新旧需求对照表.md；04_产品端口与业务方案/10-商城与健康体检生态.md；07_接口报价与商务材料/01-接口文档与报价窗口-Markdown版.md,补独立需求，避免商城只做跳转入口而漏掉推荐归因和分润回传。,新增：T1；关联 REQ-201、REQ-056、REQ-058、REQ-045,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
96,分润收益钱包与收益流水脱敏展示,机主、渠道或推广相关角色需要查看自己的分润余额、收益流水和结算状态，同时用户隐私与下级信息需要脱敏。,来源：08_录音转写与原始证据/02_武汉纺织大学会议/08-AI纪要-Markdown版.md；08_录音转写与原始证据/02_武汉纺织大学会议/02-转写结果.docx；需求编号：REQ-072,,六维达康水站项目（需求池完善副本）,P1,客户反馈,方案中,,,建群,30 天 MVP 不做真实提现。,,渠道端一期预留、推送码归属、商城归因与分润边界,六维达康水站项目（需求池完善副本）,,分账,一期,一期重要,后台和对应角色端可区分水卡余额、用户余额和分润余额；收益流水展示来源订单、分润类型、比例、金额、状态和结算时间；下级用户手机号、姓名等敏感信息脱敏；提现或结算动作需后台审核和日志。,REQ-072,依赖 REQ-023 财务流水、REQ-045 分账能力、REQ-046 售水分账。,,会议确认,商业一期,否,支付财务,后端数据库,验收补充：收益流水与财务流水不能混表替代；余额变动必须可追溯到结算批次和原始订单。,分润余额涉及税务、提现、冻结、冲正和隐私合规，比例和角色可见范围需甲方确认。,08_录音转写与原始证据/02_武汉纺织大学会议/08-AI纪要-Markdown版.md；08_录音转写与原始证据/02_武汉纺织大学会议/02-转写结果.docx,补独立收益钱包/收益流水口径，避免只做后台财务流水而漏掉角色端收益展示和隐私脱敏。,新增：T2；关联 REQ-023、REQ-045、REQ-046、REQ-080,外部阻塞,等待外部资料、资质、协议或财务规则到位；当前只沉淀接口、字段、风险和验收清单。,water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,外部资料到位后通过联调、验签、对账、设备回执或人工验收证明；当前不作为 MVP 完成条件。,需确认微信商户号、证书、回调域名、退款权限、分账规则、财务审核口径。
97,多水种配送履约与生产用量统计,项目存在 8 种水和不同水量/套餐，配送员、后台和生产运营需要识别水种、统计配送量、生产量和用户实际用量。,来源：08_录音转写与原始证据/01_新录音32/02-转写结果.docx；03_需求规格与业务规则/14-需求-多品类水管理.md；04_产品端口与业务方案/07-配送端功能方案.md；需求编号：REQ-073,,六维达康水站项目（需求池完善副本）,P1,客户反馈,方案中,,,建群,生产排程和库存可后置。,,配送端履约、准入、通知、签收申诉与多水种骨架,六维达康水站项目（需求池完善副本）,,配送端,一期,一期重要,订单和配送任务必须携带水种、水量、容器规格和套餐快照；配送员端可识别本次应配送水种和数量；后台可按水种统计下单量、配送量、取水量和异常量；统计口径与价格快照一致。,REQ-073,依赖 REQ-005 水种选择、REQ-021 价格配置、REQ-054 配送端范围、REQ-061 套餐快照。,,会议确认,一期预留,骨架,配送,后端数据库,验收补充：水种字典需支持启停、排序、默认水种和后台维护；生产统计可先用人工录入或后台报表，不进 30 天核心闭环。,8 种水最终名称、规格、生产口径和配送责任需甲方确认；不能只在价格表里定义水种而配送端不可见。,08_录音转写与原始证据/01_新录音32/02-转写结果.docx；03_需求规格与业务规则/14-需求-多品类水管理.md；04_产品端口与业务方案/07-配送端功能方案.md,补水种从下单到配送再到统计的履约口径。,新增：T3；关联 REQ-005、REQ-021、REQ-054、REQ-061,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/apps/miniprogram/；water-station/services/api/；water-station/docs/ops/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认配送 SLA、申诉处理、照片/GPS 规则、配送员准入和运营责任。
